## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics  --Histogram_FILE insert_size_distribution_plot.pdf --INPUT HG00096.chrom20.ILLUMINA.bwa.GBR.low_coverage.20120522.sorted.bam --OUTPUT insert_size_information.txt  --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 25 05:49:02 GMT 2019

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
184	183	13	9	39381071	182.036498	22.154418	1431742	FR	5	11	15	21	27	33	41	51	69	91	157			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
9	1
13	1
22	1
26	1
37	2
39	1
40	1
42	2
46	1
47	4
48	1
49	2
51	1
52	1
53	4
54	2
55	4
56	3
57	4
58	9
59	6
60	9
61	5
62	5
63	7
64	11
65	11
66	8
67	13
68	7
69	16
70	11
71	15
72	28
73	17
74	25
75	17
76	22
77	27
78	25
79	31
80	40
81	38
82	47
83	36
84	61
85	53
86	66
87	72
88	79
89	128
90	173
91	355
92	466
93	645
94	671
95	725
96	777
97	786
98	772
99	772
100	839
101	842
102	905
103	917
104	960
105	976
106	1017
107	1067
108	989
109	1065
110	1100
111	1120
112	1148
113	1231
114	1219
115	1279
116	1364
117	1407
118	1422
119	1510
120	1537
121	1613
122	1630
123	1616
124	1680
125	1746
126	1819
127	1772
128	1878
129	2037
130	1985
131	2063
132	2214
133	2248
134	2277
135	2373
136	2420
137	2487
138	2709
139	2778
140	2845
141	3011
142	3135
143	3342
144	3380
145	3555
146	3833
147	4069
148	4406
149	4582
150	4825
151	5038
152	5376
153	5675
154	6423
155	6780
156	7383
157	7782
158	8341
159	9088
160	9728
161	10656
162	11455
163	12255
164	13402
165	14539
166	15677
167	16646
168	17906
169	19339
170	20474
171	21557
172	22730
173	23715
174	25193
175	26096
176	27135
177	28086
178	28660
179	29571
180	29976
181	30156
182	30763
183	30989
184	30758
185	30847
186	30635
187	30344
188	30422
189	29725
190	29346
191	28766
192	28348
193	27866
194	27398
195	26707
196	26148
197	25157
198	24417
199	23499
200	22989
201	21988
202	21081
203	20272
204	19136
205	18054
206	16987
207	15931
208	15069
209	13818
210	12713
211	11668
212	10794
213	9613
214	8756
215	7866
216	6782
217	5968
218	5303
219	4507
220	3805
221	3262
222	2649
223	2280
224	1799
225	1559
226	1187
227	985
228	731
229	628
230	469
231	362
232	277
233	208
234	145
235	131
236	100
237	93
238	64
239	58
240	43
241	45
242	43
243	40
244	31
245	22
246	19
247	24
248	12
249	19
250	16
251	15
252	15
253	16
254	21
255	12
256	10
257	15
258	15
259	16
260	9
261	12
262	11
263	9
264	11
265	9
266	8
267	15
268	12
269	13
270	14
271	8
272	9
273	7
274	12
275	12
276	7
277	10
278	10
279	8
280	6
281	9
282	6
283	5
284	6
285	7
286	8
287	14
288	12
289	17
290	6
291	7
292	2
293	3
294	2
295	5
296	3
297	4
298	6
300	3
301	5
302	1
303	3
304	1
305	4
306	9
307	4
308	3
309	2
310	3
311	7
312	6
313	3
314	4

